id	Writing_Applications	Language_Conventions	misc_total_words	misc_total_sentences	misc_words_div_sentences	misc_sent_density	misc_ttr	grammar_pct_transitions	grammar_pct_rel_trigrams	grammar_grammar_errors_ltp_by_words	vocab_difficult_words	vocab_proportion_vocab_list[a]	vocab_proportion_vocab_list[accent]	vocab_proportion_vocab_list[abandon]	vocab_proportion_vocab_list[abnormal]	vocab_proportion_vocab_list[abbey]	vocab_proportion_vocab_list[abduct]	vocab_proportion_vocab_list[abate]	vocab_proportion_vocab_list[aback]	vocab_proportion_vocab_list[abbot]	vocab_proportion_vocab_list[abet]	vocab_proportion_vocab_list[abrasion]	vocab_proportion_vocab_list[aberrant]	vocab_proportion_vocab_list[abattoir]	vocab_proportion_vocab_list[abashed]	vocab_proportion_vocab_list[abacus]	vocab_proportion_vocab_list[abalone]	vocab_proportion_vocab_list[abductee]	vocab_proportion_vocab_list[aardvark]	vocab_proportion_vocab_list[abnegate]	vocab_proportion_vocab_list[abaya]	vocab_proportion_vocab_list[abaft]	vocab_proportion_vocab_list[abomasum]	vocab_proportion_vocab_list[abettor]	vocab_proportion_vocab_list[acetal]	vocab_proportion_vocab_list[ablaut]	vocab_proportion_vocab_list[a1]	vocab_proportion_vocab_list[ah]	vocab_proportion_vocab_list[absentminded]	vocab_proportion_vocab_list[aal]	flow_ts_avg_len_sent	flow_ts_num_syllab	flow_ts_avg_sent_per_word	flow_ts_num_polysyllab	flow_ts_num_chars	flow_ts_avg_syllab_per_word	flow_ts_fre	flow_ts_fkg	flow_ts_cli	flow_ts_dcrs	flow_ts_lwf	flow_ts_gf	flow_ts_ari	coherence_nlemma_types	coherence_n_bigram_lemma_types	coherence_n_trigram_lemma_types	coherence_nlemmas	coherence_n_bigram_lemmas	coherence_n_trigram_lemmas	coherence_ncontent_types	coherence_ncontent_tokens	coherence_content_ttr	coherence_nfunction_tokens	coherence_nfunction_types	coherence_function_ttr	coherence_noun_ttr	coherence_determiners	coherence_conjunctions	coherence_prn_noun_ratio
2978	4	4	537	19	28.263157894736842	3.91	40.74	0.0374	42.02	0.024208566108007448	33	0.30353817504655495	0.0148975791433892	0.0074487895716946	0.0037243947858473	0.0	0.00186219739292365	0.0	0.0	0.00186219739292365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8	647	0.03	25	2143	1.4	58.15	12.6	8.66	6.87	13.75	12.59	14.6	198	197	196	486	485	484	130	256	0.5078	230	68	0.2957	0.3836	0.0823	0.03498	0.25
2979	1	1	178	3	59.333333333333336	1.76	45.88	0.0093	10.92	0.15168539325842698	15	0.30337078651685395	0.02247191011235955	0.02247191011235955	0.0056179775280898875	0.0056179775280898875	0.0	0.0056179775280898875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	226	0.01	9	666	1.3	11.6	32.5	6.47	10.15	18.666666666666668	35.03	39.2	78	77	76	170	169	168	51	77	0.6623	93	27	0.2903	1.0	0.08824	0.01176	0.0
2980	2	3	261	15	17.4	6.61	50.66	0.028	24.37	0.04597701149425287	13	0.3448275862068966	0.02681992337164751	0.0038314176245210726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	283	0.05	12	930	1.3	76.56	7.6	6.04	6.35	8.166666666666666	9.27	8.5	115	114	113	227	226	225	64	114	0.5614	113	51	0.4513	0.6071	0.10132	0.03084	0.21
2981	4	4	524	31	16.903225806451612	6.6	36.81	0.0187	36.13	0.013358778625954198	40	0.2652671755725191	0.03816793893129771	0.009541984732824428	0.003816793893129771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.0	708	0.0	44	2179	1.5	-156.57	93.0	10.59	16.82	6.5	94.49	117.1	173	172	171	470	469	468	117	248	0.4718	222	56	0.2523	0.4242	0.09362	0.02553	0.85
2982	4	4	498	35	14.228571428571428	8.12	48.26	0.0467	37.82	0.07429718875502007	29	0.3132530120481928	0.0321285140562249	0.018072289156626505	0.0	0.0	0.0	0.0	0.006024096385542169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002008032128514056	15.6	602	0.06	24	1902	1.4	72.56	7.0	7.54	6.66	5.75	7.28	7.6	208	207	206	431	430	429	145	244	0.5943	187	63	0.3369	0.7059	0.09281	0.04176	0.29
2983	4	3	379	25	15.16	7.65	45.87	0.028	31.09	0.036939313984168866	31	0.2955145118733509	0.0316622691292876	0.010554089709762533	0.0079155672823219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3	442	0.07	18	1420	1.4	72.87	6.9	6.6	6.9	6.714285714285714	7.61	7.0	150	149	148	327	326	325	104	195	0.5333	132	46	0.3485	0.5	0.09786	0.0367	0.12
2984	5	4	608	25	24.32	4.78	44.74	0.0374	40.34	0.024671052631578948	87	0.24177631578947367	0.05098684210526316	0.029605263157894735	0.013157894736842105	0.004934210526315789	0.003289473684210526	0.0	0.003289473684210526	0.001644736842105263	0.0	0.0	0.0	0.0	0.0	0.001644736842105263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001644736842105263	0.0	26.0	810	0.04	55	2513	1.6	45.09	13.4	10.04	8.14	12.2	13.48	14.3	234	233	232	523	522	521	172	278	0.6187	245	62	0.2531	0.4	0.11663	0.02677	0.12
2985	2	2	853	36	23.694444444444443	4.53	30.82	0.0561	45.38	0.04806565064478312	45	0.2250879249706917	0.021101992966002344	0.004689331770222743	0.0023446658851113715	0.0011723329425556857	0.0011723329425556857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011723329425556857	0.0	28.0	988	0.04	30	3211	1.3	68.44	10.7	6.27	6.52	8.333333333333334	12.22	11.9	245	244	243	795	794	793	169	358	0.4721	437	76	0.1739	0.6471	0.13208	0.01132	0.68
2986	4	4	374	19	19.68421052631579	5.74	45.02	0.0467	41.18	0.013368983957219251	44	0.27807486631016043	0.06149732620320856	0.02406417112299465	0.0053475935828877	0.00267379679144385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.1	504	0.05	40	1577	1.5	57.5	10.7	9.57	7.21	8.285714285714286	11.26	12.0	149	148	147	331	330	329	101	170	0.5941	161	48	0.2981	0.5714	0.10574	0.01208	0.31
2987	4	4	433	24	18.041666666666668	6.23	43.12	0.0374	38.66	0.011547344110854504	25	0.3210161662817552	0.025404157043879907	0.016166281755196306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023094688221709007	0.0	18.0	498	0.06	25	1644	1.3	78.59	6.8	6.78	6.2	7.0	8.36	8.1	166	165	164	385	384	383	100	183	0.5464	202	66	0.3267	0.6667	0.13506	0.02597	1.53
2988	3	3	374	17	22.0	5.0	37.06	0.028	29.41	0.03208556149732621	16	0.2807486631016043	0.02406417112299465	0.00267379679144385	0.0	0.00267379679144385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.6	431	0.04	21	1370	1.3	70.87	9.7	6.16	6.14	8.333333333333334	10.96	10.7	126	125	124	340	339	338	76	158	0.481	182	50	0.2747	0.4118	0.12353	0.02059	0.35
2989	3	3	349	18	19.38888888888889	5.64	49.53	0.0187	36.13	0.02865329512893983	29	0.3495702005730659	0.04871060171919771	0.014326647564469915	0.0028653295128939827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028653295128939827	0.0	0.0	0.0	19.7	441	0.05	27	1376	1.4	68.4	8.6	7.37	6.92	7.428571428571429	10.29	9.0	158	157	156	319	318	317	106	162	0.6543	157	52	0.3312	0.6154	0.08464	0.01881	0.54
2990	5	4	548	29	18.896551724137932	5.94	45.49	0.0935	41.18	0.023722627737226276	71	0.2664233576642336	0.04562043795620438	0.025547445255474453	0.010948905109489052	0.0036496350364963502	0.0018248175182481751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072992700729927005	0.0	485.0	712	0.0	34	2204	1.5	-412.35	191.3	9.78	30.46	6.25	196.39	242.5	222	221	220	488	487	486	156	248	0.629	240	66	0.275	0.5	0.10246	0.02049	0.3
2991	3	4	363	12	30.25	3.59	49.4	0.028	32.77	0.03305785123966942	26	0.3526170798898072	0.03856749311294766	0.008264462809917356	0.0	0.0027548209366391185	0.0	0.0027548209366391185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027548209366391185	0.008264462809917356	36.7	423	0.03	15	1379	1.3	59.6	14.1	6.98	7.75	18.666666666666668	15.89	16.6	165	164	163	334	333	332	104	152	0.6842	182	61	0.3352	0.6585	0.09581	0.04192	0.44
2992	3	2	107	5	21.4	5.15	58.76	0.0187	15.13	0.037383177570093455	13	0.3644859813084112	0.08411214953271028	0.009345794392523364	0.009345794392523364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	154	0.03	9	458	1.7	31.55	16.6	10.98	7.89	11.1	15.41	17.2	57	56	55	97	96	95	30	50	0.6	47	27	0.5745	0.6	0.1134	0.01031	0.2
2993	3	3	394	17	23.176470588235293	4.72	51.11	0.028	36.97	0.07868020304568528	39	0.3553299492385787	0.03553299492385787	0.012690355329949238	0.0025380710659898475	0.0025380710659898475	0.0025380710659898475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025380710659898475	0.0	0.0	0.0025380710659898475	32.3	475	0.03	18	1581	1.3	64.07	12.3	8.48	7.73	15.0	13.93	15.7	184	183	182	360	359	358	124	200	0.62	160	60	0.375	0.6444	0.09722	0.02222	0.31
2994	4	4	733	39	18.794871794871796	5.86	28.42	0.028	41.18	0.03547066848567531	38	0.19918144611186903	0.015006821282401092	0.009549795361527967	0.001364256480218281	0.001364256480218281	0.0	0.0	0.001364256480218281	0.001364256480218281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001364256480218281	0.0	0.001364256480218281	0.001364256480218281	20.5	874	0.05	35	2788	1.3	76.05	7.7	6.67	5.88	8.833333333333334	8.87	8.9	189	188	187	665	664	663	133	330	0.403	335	56	0.1672	0.3875	0.08872	0.02707	0.68
2995	3	3	373	13	28.692307692307693	3.9	40.24	0.0467	27.73	0.040214477211796246	22	0.2761394101876676	0.03485254691689008	0.005361930294906166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.9	457	0.03	21	1510	1.4	55.0	13.8	9.18	6.85	11.2	14.13	16.6	134	133	132	333	332	331	81	173	0.4682	160	53	0.3312	0.3667	0.06306	0.02703	0.33
2996	1	2	204	5	40.8	3.31	60.93	0.0374	16.81	0.014705882352941176	32	0.27941176470588236	0.029411764705882353	0.014705882352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.6	231	0.03	24	770	1.6	41.43	14.8	11.27	9.27	14.75	17.25	17.9	92	91	90	151	150	149	62	96	0.6458	55	30	0.5455	0.5263	0.11921	0.01325	0.07
2997	3	3	377	21	17.952380952380953	6.14	36.26	0.028	33.61	0.03713527851458886	17	0.27851458885941643	0.021220159151193633	0.007957559681697613	0.0	0.0	0.002652519893899204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.6	427	0.05	15	1414	1.3	76.96	7.4	6.56	5.89	10.8	8.56	8.4	124	123	122	342	341	340	74	179	0.4134	163	50	0.3067	0.2857	0.06725	0.02339	0.31
2998	3	2	348	11	31.636363636363637	3.32	38.67	0.0187	28.57	0.04885057471264368	12	0.3045977011494253	0.005747126436781609	0.0028735632183908046	0.008620689655172414	0.0028735632183908046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028735632183908046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.4	377	0.03	5	1197	1.2	69.38	12.4	4.54	6.43	13.25	14.41	14.0	128	127	126	331	330	329	75	145	0.5172	186	53	0.2849	0.3571	0.07553	0.03625	1.64
2999	3	3	337	19	17.736842105263158	6.48	35.49	0.0187	23.53	0.08011869436201781	15	0.2344213649851632	0.017804154302670624	0.011869436201780416	0.0	0.0	0.0	0.0	0.005934718100890208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002967359050445104	22.2	377	0.04	11	1239	1.3	74.32	8.4	6.91	6.27	7.666666666666666	9.57	9.9	104	103	102	293	292	291	60	143	0.4196	150	44	0.2933	0.2326	0.08532	0.03413	0.65
3000	3	3	237	9	26.333333333333332	4.43	60.1	0.0187	18.49	0.016877637130801686	32	0.3291139240506329	0.03375527426160337	0.029535864978902954	0.012658227848101266	0.0	0.004219409282700422	0.0	0.0	0.0	0.0	0.004219409282700422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.0	284	0.01	12	898	1.4	-110.55	77.4	9.19	16.82	10.8	80.03	98.1	122	121	120	203	202	201	76	99	0.7677	104	46	0.4423	0.6857	0.08374	0.04433	0.37
3001	4	4	566	23	24.608695652173914	4.47	33.98	0.0187	31.09	0.030035335689045935	32	0.24381625441696114	0.022968197879858657	0.0017667844522968198	0.0	0.0017667844522968198	0.0	0.0	0.0	0.0017667844522968198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	514.0	665	0.0	17	2156	1.3	-424.86	200.2	7.92	30.82	13.25	206.38	255.3	175	174	173	515	514	513	113	243	0.465	272	62	0.2279	0.4407	0.07767	0.03301	0.59
3002	3	3	588	22	26.727272727272727	4.34	37.67	0.0374	39.5	0.03571428571428571	31	0.2585034013605442	0.013605442176870748	0.011904761904761904	0.0017006802721088435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017006802721088435	0.0	0.0	0.0017006802721088435	26.0	706	0.04	32	2242	1.4	62.01	11.1	8.19	6.46	6.714285714285714	11.53	13.0	191	190	189	507	506	505	124	274	0.4526	233	67	0.2876	0.3467	0.08087	0.01578	0.32
