id	overall_score	ideas_score	flow_score	coherence_score	vocab_score	grammar_score	total_words	total_sentences	words_div_sentences	sent_density
300436199	4	4	5	4	4	4	357	11	32.45454545454545	3.34
300443203	4	3	4	4	4	4	231	17	13.588235294117647	8.17
300400010	4	3	5	4	4	4	349	14	24.928571428571427	4.31
300451442	5	5	5	5	5	5	402	16	25.125	4.31
300462744	4	5	5	5	4	4	538	15	35.86666666666667	3.01
300465371	3	3	3	3	3	3	367	9	40.77777777777778	2.69
300467528	5	5	5	4	5	4	442	22	20.09090909090909	5.34
300470595	4	4	4	4	4	4	444	20	22.2	4.77
300475607	4	4	4	4	4	3	374	18	20.77777777777778	5.26
300476894	4	4	4	5	4	4	396	15	26.4	4.09
300400011	5	5	5	5	5	4	357	17	21.0	5.18
300458321	4	4	4	4	4	4	357	13	27.46153846153846	3.89
300465369	3	3	4	4	3	3	299	11	27.181818181818183	3.93
300478717	3	4	3	4	3	3	358	14	25.571428571428573	4.29
300481896	5	5	4	5	5	4	432	18	24.0	4.56
300482646	3	4	4	3	3	4	625	19	32.89473684210526	3.23
300491415	3	3	4	4	4	3	349	12	29.083333333333332	3.76
300414886	3	3	3	4	3	3	292	11	26.545454545454547	4.12
300433944	4	5	4	5	4	4	935	19	49.21052631578947	2.18
300448682	5	5	4	5	5	5	1541	61	25.262295081967213	4.25
300468100	5	5	5	5	5	5	480	22	21.818181818181817	5.05
300469408	5	5	5	5	4	5	817	33	24.757575757575758	4.37
300474288	4	4	4	4	3	4	348	3	116.0	0.87
300476203	4	4	4	4	3	4	369	18	20.5	5.49
300478184	4	4	4	4	3	4	363	14	25.928571428571427	4.08
300478187	4	4	4	4	4	4	457	21	21.761904761904763	4.98
300484033	4	4	4	4	4	4	276	7	39.42857142857143	2.65
300484044	4	4	4	5	4	4	486	14	34.714285714285715	3.02
300485556	5	4	4	5	4	5	597	31	19.258064516129032	5.66
300489269	5	5	5	4	5	4	559	24	23.291666666666668	4.56
300490889	4	4	4	4	4	4	497	12	41.416666666666664	2.57
300479205	4	5	5	4	4	4	804	41	19.609756097560975	5.67
300484040	4	3	4	4	4	4	451	19	23.736842105263158	4.48
300484277	3	4	3	3	3	4	436	22	19.818181818181817	5.26
300485722	3	4	3	3	4	3	470	20	23.5	4.43
300469240	3	3	4	3	3	3	236	11	21.454545454545453	4.98
300471151	5	5	5	4	5	5	414	19	21.789473684210527	5.0
300478180	4	4	4	4	4	4	315	17	18.529411764705884	6.03
300476975	4	4	4	4	3	3	229	13	17.615384615384617	6.13
300478707	4	4	4	4	4	4	372	16	23.25	4.69
300422495	3	4	3	4	3	4	412	21	19.61904761904762	5.53
300445396	4	5	4	4	4	5	300	12	25.0	4.41
300446931	4	5	4	5	4	4	481	15	32.06666666666667	3.44
300444606	4	4	4	4	4	4	401	16	25.0625	4.32
300473269	4	5	4	4	4	4	456	23	19.82608695652174	5.54
300476977	4	4	4	4	4	4	322	14	23.0	4.68
300479609	4	4	4	4	4	3	398	19	20.94736842105263	5.21
300484037	4	4	4	4	3	4	471	13	36.23076923076923	3.0
300484657	4	4	4	4	4	4	262	6	43.666666666666664	2.35
300486175	4	4	4	4	4	4	396	15	26.4	4.12
300436199	4	2	4	4	4	4	357	11	32.45454545454545	3.34
300443203	3	2	3	3	3	3	231	17	13.588235294117647	8.17
300446328	4	3	4	4	4	4	393	18	21.833333333333332	5.13
300400010	3	3	4	3	3	3	349	14	24.928571428571427	4.31
300441214	4	3	4	4	4	4	296	11	26.90909090909091	3.96
300446492	4	4	4	4	4	4	358	10	35.8	3.04
300451442	4	4	4	4	4	3	402	16	25.125	4.31
300456377	5	4	5	5	5	5	358	11	32.54545454545455	3.23
300462744	4	4	5	4	4	4	538	15	35.86666666666667	3.01
300462939	5	5	5	5	5	5	427	16	26.6875	4.06
300465371	3	3	3	3	3	3	367	9	40.77777777777778	2.69
300470886	3	3	4	4	4	3	328	10	32.8	3.22
300474317	4	4	4	4	4	4	322	12	26.833333333333332	3.97
300467528	3	4	3	3	4	3	442	22	20.09090909090909	5.34
300468373	5	5	5	5	5	5	446	13	34.30769230769231	3.09
300470595	4	4	4	4	4	4	444	20	22.2	4.77
300475607	4	4	4	4	4	4	374	18	20.77777777777778	5.26
300475609	4	4	5	5	4	4	424	19	22.31578947368421	4.85
300476894	4	4	4	4	4	4	396	15	26.4	4.09
300479587	4	4	4	4	4	4	433	20	21.65	4.93
300485726	4	4	4	4	4	4	286	7	40.857142857142854	2.47
300485728	5	5	4	5	5	5	416	13	32.0	3.31
300055462	3	3	3	2	4	3	230	7	32.857142857142854	3.37
300400011	3	3	3	3	4	3	357	17	21.0	5.18
300435089	4	4	3	4	4	4	338	13	26.0	4.1
300438545	4	3	4	4	4	3	329	11	29.90909090909091	3.45
300446586	4	4	4	4	4	4	331	14	23.642857142857142	4.52
300446933	3	2	3	3	3	3	408	15	27.2	3.99
300446950	3	3	3	4	3	3	415	10	41.5	2.6
300453068	5	4	5	5	5	4	386	12	32.166666666666664	3.37
300455780	4	4	4	5	5	4	393	16	24.5625	4.38
300458321	4	4	4	4	4	4	357	13	27.46153846153846	3.89
300465369	4	4	4	4	4	3	299	11	27.181818181818183	3.93
300474288	3	3	3	3	3	3	348	3	116.0	0.87
300476203	3	2	4	3	3	3	369	18	20.5	5.49
300478184	3	3	4	4	3	3	363	14	25.928571428571427	4.08
300478187	3	3	3	4	3	3	457	21	21.761904761904763	4.98
300485722	3	3	3	3	4	3	470	20	23.5	4.43
300446938	4	4	4	4	4	4	569	28	20.321428571428573	5.36
300451427	5	4	5	5	4	5	315	11	28.636363636363637	3.68
300457114	4	4	4	4	4	4	407	13	31.307692307692307	3.44
300457871	5	5	5	5	5	5	536	24	22.333333333333332	4.82
300469240	2	2	3	3	3	3	236	11	21.454545454545453	4.98
300470958	4	4	3	4	4	4	396	15	26.4	4.11
300471151	4	3	4	4	4	4	414	19	21.789473684210527	5.0
300471155	4	3	4	4	4	4	320	12	26.666666666666668	4.07
300475608	5	4	4	5	4	4	434	15	28.933333333333334	3.72
300478180	3	2	3	3	3	3	315	17	18.529411764705884	6.03
300476975	3	3	3	3	3	3	229	13	17.615384615384617	6.13
300478707	4	4	4	4	4	3	372	16	23.25	4.69
300479617	4	4	4	3	4	3	723	35	20.65714285714286	5.15
300447416	4	4	4	5	5	5	379	14	27.071428571428573	3.93
300448668	4	4	4	5	4	4	554	19	29.157894736842106	3.61
300422495	3	4	3	3	3	3	412	21	19.61904761904762	5.53
300446945	4	3	4	3	4	4	341	12	28.416666666666668	3.7
300445396	4	3	4	4	4	4	300	12	25.0	4.41
300437784	4	3	4	4	4	3	467	23	20.304347826086957	5.49
300446941	4	4	4	4	4	4	422	24	17.583333333333332	6.37
300446931	4	4	3	4	4	3	481	15	32.06666666666667	3.44
300444606	4	4	3	4	4	3	401	16	25.0625	4.32
300473269	3	3	3	3	3	3	456	23	19.82608695652174	5.54
300476977	4	3	3	4	4	4	322	14	23.0	4.68
300479609	4	4	4	4	3	4	398	19	20.94736842105263	5.21
